DateTime,AverageTemperature,AverageHumidity
2022-07-01 00:00:00,18.73,82.91
2022-07-01 01:00:00,17.95,85.82
2022-07-01 02:00:00,17.66,87.91
2022-07-01 03:00:00,17.17,90.18
2022-07-01 04:00:00,17.2,89.73
2022-07-01 05:00:00,17.63,87.36
2022-07-01 06:00:00,17.98,84.0
2022-07-01 07:00:00,18.02,82.64
2022-07-01 08:00:00,18.16,80.73
2022-07-01 09:00:00,18.0,80.36
2022-07-01 10:00:00,16.97,82.82
2022-07-01 11:00:00,17.16,80.45
2022-07-01 12:00:00,17.28,80.64
2022-07-01 13:00:00,17.18,80.27
2022-07-01 14:00:00,17.41,79.09
2022-07-01 15:00:00,17.25,77.55
2022-07-01 16:00:00,17.53,75.91
2022-07-01 17:00:00,17.56,73.27
2022-07-01 18:00:00,17.45,72.55
2022-07-01 19:00:00,16.84,75.64
2022-07-01 20:00:00,15.87,79.18
2022-07-01 21:00:00,14.85,84.0
2022-07-01 22:00:00,14.2,87.09
2022-07-01 23:00:00,13.38,90.0
2022-07-02 00:00:00,12.73,91.91
2022-07-02 01:00:00,12.23,92.73
2022-07-02 02:00:00,11.62,94.73
2022-07-02 03:00:00,11.26,95.73
2022-07-02 04:00:00,11.76,93.73
2022-07-02 05:00:00,13.25,89.27
2022-07-02 06:00:00,15.26,81.0
2022-07-02 07:00:00,17.5,69.91
2022-07-02 08:00:00,19.38,59.73
2022-07-02 09:00:00,20.81,50.45
2022-07-02 10:00:00,21.71,45.91
2022-07-02 11:00:00,22.84,42.09
2022-07-02 12:00:00,23.28,40.0
2022-07-02 13:00:00,24.24,37.91
2022-07-02 14:00:00,24.79,36.64
2022-07-02 15:00:00,24.61,36.73
2022-07-02 16:00:00,24.91,36.55
2022-07-02 17:00:00,24.71,38.73
2022-07-02 18:00:00,23.98,41.0
2022-07-02 19:00:00,22.3,48.27
2022-07-02 20:00:00,20.16,57.82
2022-07-02 21:00:00,18.61,63.45
2022-07-02 22:00:00,17.31,68.82
2022-07-02 23:00:00,16.5,71.64
2022-07-03 00:00:00,16.22,72.64
2022-07-03 01:00:00,15.79,74.27
2022-07-03 02:00:00,15.51,74.18
2022-07-03 03:00:00,15.08,75.0
2022-07-03 04:00:00,15.03,75.36
2022-07-03 05:00:00,16.76,69.64
2022-07-03 06:00:00,19.09,62.73
2022-07-03 07:00:00,21.41,56.82
2022-07-03 08:00:00,23.41,50.64
2022-07-03 09:00:00,24.71,45.73
2022-07-03 10:00:00,25.3,42.55
2022-07-03 11:00:00,26.25,39.55
2022-07-03 12:00:00,27.15,36.91
2022-07-03 13:00:00,27.53,35.64
2022-07-03 14:00:00,27.54,36.09
2022-07-03 15:00:00,28.05,34.55
2022-07-03 16:00:00,26.93,38.45
2022-07-03 17:00:00,25.96,43.45
2022-07-03 18:00:00,25.48,45.09
2022-07-03 19:00:00,24.03,49.64
2022-07-03 20:00:00,21.58,58.91
2022-07-03 21:00:00,20.39,63.64
2022-07-03 22:00:00,19.42,68.09
2022-07-03 23:00:00,18.35,72.27
2022-07-04 00:00:00,17.56,75.55
2022-07-04 01:00:00,17.17,77.09
2022-07-04 02:00:00,16.2,81.45
2022-07-04 03:00:00,15.38,84.27
